Cluster,Count,Avg_Rating,Avg_Votes,Avg_Cost,Top_City,Lat_Center,Lon_Center
1,7549,2.4752285070870315,111.3740892833488,610.192078420983,New Delhi,28.582539957589084,77.20542435562855
0,40,4.2,589.15,158.625,Dubai,25.261460089499998,55.3361294555
2,40,4.26,337.375,481.0,Pretoria,-25.944739638250002,28.1450534495
